subject,class,scenario,timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
subject1,normal,0,1733143136552,0.67716,0.29616,0.29371,0.00648,-0.00207,-0.00149
subject1,normal,0,1733143136603,0.52218,2.79369,-1.88970,0.00914,-0.01251,-0.00001
subject1,normal,0,1733143136650,3.63140,-4.15964,0.26545,0.00317,-0.01467,-0.00698
subject1,normal,0,1733143136701,7.71785,-4.31563,2.30267,0.00961,-0.01213,-0.00932
subject1,normal,0,1733143136746,5.74638,-0.63960,3.60350,0.01234,-0.00739,-0.01043
subject1,normal,0,1733143136791,3.59054,3.30975,-2.16291,0.01248,-0.01179,0.00716
subject1,normal,0,1733143136842,0.78337,-4.60503,-5.13472,0.00573,-0.00854,0.00684
subject1,normal,0,1733143136890,-4.07850,4.93039,2.14108,0.00966,-0.00841,-0.00202
subject1,normal,0,1733143136942,2.26839,1.04994,-0.66677,0.00693,-0.00794,0.00703
subject1,normal,0,1733143136986,4.44633,3.84192,-0.72531,0.01148,-0.00995,0.01370
subject1,normal,0,1733143137037,0.27815,6.35285,-1.40452,-0.00360,-0.02152,0.00840
subject1,normal,0,1733143137086,-4.04945,5.67281,1.34377,-0.00026,-0.00956,-0.00051
subject1,normal,0,1733143137137,-4.03677,-1.76900,-0.12982,0.00083,-0.01385,0.01137
subject1,normal,0,1733143137186,3.06633,3.65743,-1.67894,0.01307,-0.02480,0.01211
subject1,normal,0,1733143137233,-0.93616,0.20218,-4.62071,0.01505,-0.02088,-0.00614
subject1,normal,0,1733143137282,-2.72115,-0.24190,2.57994,-0.00223,-0.01349,-0.00099
subject1,normal,0,1733143137331,1.08155,5.04100,5.47613,-0.01545,-0.00066,0.00549
subject1,normal,0,1733143137380,11.26489,-1.18956,-5.49321,-0.03038,0.01132,0.00988
subject1,normal,0,1733143137423,9.15961,0.96329,-1.15066,-0.02482,0.02942,-0.00966
subject1,normal,0,1733143137470,3.17977,3.18977,-1.17008,-0.02163,0.02070,0.00393
subject1,normal,0,1733143137515,7.49090,-4.28991,5.33162,-0.02355,0.02371,-0.00233
subject1,normal,0,1733143137563,1.98277,-1.64262,0.04098,-0.01867,0.00664,-0.00212
subject1,normal,0,1733143137613,8.57910,-3.63779,-0.76114,-0.01210,0.00495,-0.00473
subject1,normal,0,1733143137661,11.72965,-5.69251,-2.83832,-0.00881,-0.00675,0.00055
subject1,normal,0,1733143137711,10.10087,-3.80000,0.87468,-0.00908,-0.00196,-0.00035
subject1,normal,0,1733143137761,4.90702,-1.82585,2.57083,-0.01089,-0.00054,-0.00105
subject1,normal,0,1733143137811,-2.02438,5.51778,1.15098,-0.01013,0.01490,-0.00194
subject1,normal,0,1733143137861,12.07609,-1.93210,-2.61217,0.00034,-0.01545,0.00347
subject1,normal,0,1733143137912,-1.67435,2.79083,1.54958,-0.00438,0.01428,-0.01281
subject1,normal,0,1733143137962,9.63529,-4.94815,0.01080,0.01260,-0.02114,0.01107
subject1,normal,0,1733143138010,-1.79937,2.24329,1.29520,0.00326,0.00614,-0.00515
subject1,normal,0,1733143138058,10.78763,-1.82820,7.22110,-0.00366,-0.01447,0.01141
subject1,normal,0,1733143138109,15.13485,-11.32422,2.51764,0.01140,-0.01543,0.00920
subject1,normal,0,1733143138161,8.52409,4.06780,-1.10099,0.02395,-0.00322,0.00248
subject1,normal,0,1733143138212,-3.26358,3.07190,-6.85582,0.03090,0.01767,-0.02728
subject1,normal,0,1733143138262,0.86779,-3.27661,-1.11364,0.01593,0.00265,-0.00764
subject1,normal,0,1733143138313,2.22251,-1.68526,0.38196,0.02610,-0.01650,-0.00455
subject1,normal,0,1733143138365,-3.71493,4.31236,-0.84534,0.02811,-0.03015,0.00210
subject1,normal,0,1733143138411,-4.13812,-0.58589,-1.19487,0.01449,-0.05002,0.00584
subject1,normal,0,1733143138462,-2.68827,5.42357,-1.96386,-0.02273,-0.02602,0.01836
subject1,normal,0,1733143138508,-2.26382,-4.69069,-1.55282,-0.03766,-0.01266,0.01464
subject1,normal,0,1733143138556,-6.97830,-4.77808,-5.53102,-0.03297,0.00421,0.02280
subject1,normal,0,1733143138615,-6.62403,-8.71500,-2.08617,-0.01635,-0.00214,0.02975
subject1,normal,0,1733143138659,-3.56385,1.41748,-1.73919,0.01042,-0.01961,0.00801
subject1,normal,0,1733143138705,-4.61011,-12.33744,1.02711,0.01794,-0.02478,0.01024
subject1,normal,0,1733143138751,-0.83160,-1.71442,-2.46434,0.04252,-0.01720,-0.01446
subject1,normal,0,1733143138795,1.74468,-10.46440,1.00370,0.02791,0.00948,0.00494
subject1,normal,0,1733143138843,5.80624,-4.15906,-4.24274,-0.00409,0.02235,-0.00638
subject1,normal,0,1733143138895,12.45116,-5.60958,-0.29650,-0.02462,0.02280,0.00388
subject1,normal,0,1733143138945,17.36559,-11.45710,2.83310,-0.02603,0.02410,0.00943
subject1,normal,0,1733143138994,2.92250,-10.06910,-2.13725,-0.03591,0.01952,0.00764
subject1,normal,0,1733143139049,0.53309,2.07107,-1.14188,-0.00014,0.02149,-0.02162
subject1,normal,0,1733143139103,5.89799,0.29400,-4.17808,-0.00931,0.02748,-0.00362
subject1,normal,0,1733143139152,9.17551,-4.30193,5.20443,-0.00943,-0.00805,-0.00105
subject1,normal,0,1733143139202,-2.09076,1.43978,-3.80151,0.00396,0.00288,0.00216
subject1,normal,0,1733143139253,5.55287,-11.31689,4.09369,0.00787,0.01260,0.00313
subject1,normal,0,1733143139306,6.85252,-8.75368,0.78090,0.01010,0.00157,0.00613
subject1,normal,0,1733143139353,8.24524,-3.61773,-5.64823,0.01449,-0.00102,-0.00749
subject1,normal,0,1733143139403,12.17923,-11.48853,3.41762,0.01642,-0.00822,-0.00940
subject1,normal,0,1733143139451,7.38709,10.90944,-1.33631,0.00411,0.00960,-0.02147
subject1,normal,0,1733143139501,-5.99430,4.82149,-5.62879,0.00605,0.00744,0.00384
subject1,normal,0,1733143139554,1.43674,2.72552,-3.84109,-0.01511,0.00085,0.02498
subject1,normal,0,1733143139602,-6.19542,7.04161,-3.99556,0.00287,-0.00021,-0.01810
subject1,normal,0,1733143139651,-7.61752,-4.98152,0.46066,-0.00161,-0.01649,0.02854
subject1,normal,0,1733143139701,-6.50664,10.69028,-1.01226,0.02181,0.00006,-0.02479
subject1,normal,0,1733143139748,7.08566,-8.32377,8.89038,0.06092,-0.02373,-0.01123
subject1,normal,0,1733143139796,12.68363,-13.42209,1.82054,0.06489,-0.03047,-0.01446
subject1,normal,0,1733143139846,-4.48276,16.12586,-5.07667,0.03225,-0.03829,-0.02007
subject1,normal,0,1733143139891,-8.67681,14.04530,-8.36985,0.01794,-0.02073,-0.01730
subject1,normal,0,1733143139944,-5.51848,2.83279,-1.51323,-0.03492,-0.01381,0.01409
subject1,normal,0,1733143139992,0.99112,0.43758,2.18907,-0.04713,-0.01218,0.01331
subject1,normal,0,1733143140040,-1.83392,3.34339,2.16198,-0.05424,0.01494,0.01592
subject1,normal,0,1733143140089,3.28605,-0.10278,2.98627,-0.03695,0.02128,0.01647
subject1,normal,0,1733143140138,-11.41613,2.30446,-0.10290,0.00881,0.00912,0.00459
subject1,normal,0,1733143140186,0.29171,-7.13729,4.98715,0.01694,-0.02393,0.02873
subject1,normal,0,1733143140238,6.28251,0.39399,4.19694,0.03567,-0.01185,-0.01231
subject1,normal,0,1733143140286,0.62391,-10.37520,-3.96196,0.02867,0.01522,-0.01968
subject1,normal,0,1733143140336,9.15557,6.53468,2.78782,-0.00527,-0.01177,0.00931
subject1,normal,0,1733143140389,2.19463,-9.72416,-5.96164,0.00540,-0.00013,0.00273
subject1,normal,0,1733143140442,-3.42714,8.49788,1.69380,0.00039,-0.00136,-0.01747
subject1,normal,0,1733143140493,-3.57129,-5.80136,-1.19593,0.00925,-0.00424,0.00388
subject1,normal,0,1733143140548,-4.21360,5.25196,3.87866,-0.01377,0.00919,-0.02274
subject1,normal,0,1733143140600,-2.60559,-7.50214,1.05676,0.00852,-0.00861,0.01441
subject1,normal,0,1733143140653,6.37866,3.50617,-0.27574,-0.00354,-0.01206,0.00202
subject1,normal,0,1733143140704,1.19835,-0.45308,3.80567,0.00106,-0.00232,-0.00514
subject1,normal,0,1733143140756,-0.80418,-12.14079,-0.63611,0.00117,0.00116,0.00663
subject1,normal,0,1733143140805,-3.70239,-0.10823,-1.54318,0.00425,0.00572,-0.01883
subject1,normal,0,1733143140857,-0.01170,-1.41763,5.33596,-0.00905,0.01415,-0.00052
subject1,normal,0,1733143140907,0.13249,4.47625,-0.57605,-0.00808,0.00277,0.00212
subject1,normal,0,1733143140960,-2.38085,-0.63124,-1.46104,-0.01850,0.00608,-0.00355
subject1,normal,0,1733143141009,0.99741,-9.45463,-0.98633,-0.00112,0.00278,0.00249
subject1,normal,0,1733143141058,-2.26013,-5.73546,-3.20155,0.01371,0.00876,-0.00357
subject1,normal,0,1733143141108,7.24673,-1.78118,2.30749,-0.00509,-0.00608,0.00504
subject1,normal,0,1733143141157,-2.08870,4.58304,-0.61304,-0.00300,-0.01015,-0.00644
subject1,normal,0,1733143141208,0.34159,-6.79861,-1.57406,0.00892,-0.00679,-0.00212
subject1,normal,0,1733143141256,-8.30039,4.85063,3.89639,0.01032,0.00769,-0.00088
subject1,normal,0,1733143141307,2.22752,7.01327,0.91340,-0.01174,-0.00872,0.00690
subject1,normal,0,1733143141359,-2.90298,-9.29961,1.18916,-0.00235,0.00431,0.00249
subject1,normal,0,1733143141410,3.65519,-2.62739,3.09882,-0.00755,0.00165,0.00670
subject1,normal,0,1733143141457,4.39332,-14.11124,2.73825,0.01288,0.00597,0.00430
subject1,normal,0,1733143141507,-7.70784,0.99018,-1.56872,0.00012,0.01145,-0.00764
subject1,normal,0,1733143141560,-1.98866,-0.04512,0.43726,-0.00358,0.00436,-0.00330
subject1,normal,0,1733143141607,2.30884,11.34672,4.04458,-0.00636,0.00011,-0.00531
subject1,normal,0,1733143141658,-1.12764,5.30782,1.08174,0.00181,-0.00466,-0.01394
subject1,normal,0,1733143141708,1.03849,-11.00341,-2.17208,0.00101,-0.00941,0.00994
subject1,normal,0,1733143141763,0.77492,-7.73861,-0.79914,0.01032,-0.00381,0.01424
subject1,normal,0,1733143141814,2.77929,-7.23453,-1.33603,0.00692,-0.00012,0.00014
subject1,normal,0,1733143141869,0.85778,6.27464,3.85939,0.00788,-0.04841,0.00663
subject1,normal,0,1733143141917,-3.46031,-7.43867,-2.66772,0.02198,-0.02572,0.01088
subject1,normal,0,1733143141968,-4.10045,7.74817,-1.28788,0.01747,-0.00135,-0.00083
subject1,normal,0,1733143142026,-1.20127,10.56244,-2.57190,-0.00572,0.01571,-0.00167
subject1,normal,0,1733143142077,-2.53800,6.06129,0.75066,-0.04050,0.03726,-0.00641
subject1,normal,0,1733143142127,0.81554,10.19198,-0.96981,-0.02946,0.04213,-0.01321
subject1,normal,0,1733143142175,-1.10591,-5.86575,-3.34654,-0.02622,0.03235,0.00495
subject1,normal,0,1733143142225,-1.28986,4.38917,-0.77569,0.01307,-0.00225,-0.01880
subject1,normal,0,1733143142277,-2.17879,0.56550,4.85362,0.00602,-0.01123,-0.00680
subject1,normal,0,1733143142326,1.74583,0.74873,-1.25783,0.01585,-0.02604,0.00046
subject1,normal,0,1733143142376,1.72723,-5.04801,0.78012,-0.00296,-0.00743,0.00547
subject1,normal,0,1733143142427,-1.92821,5.79831,0.56430,-0.00413,-0.00427,0.00127
subject1,normal,0,1733143142476,-6.05621,4.92845,4.42001,-0.01061,-0.00035,0.00969
subject1,normal,0,1733143142521,-4.75150,6.49972,2.58131,-0.00923,0.00179,0.00598
subject1,normal,0,1733143142568,-0.56249,-5.43822,0.06844,0.01035,0.00115,-0.01143
subject1,normal,0,1733143142618,1.15309,-4.63260,0.09553,0.00806,0.00145,-0.00912
subject1,normal,0,1733143142666,-2.90510,-0.75784,-1.95696,0.00271,-0.00314,-0.00155
subject1,normal,0,1733143142717,2.15746,-4.62305,5.26743,-0.01921,0.02088,-0.00249
subject1,normal,0,1733143142767,3.14589,-4.91114,0.75344,-0.00523,0.03306,0.00144
subject1,normal,0,1733143142818,10.49629,-2.07394,-0.89671,-0.02181,0.04186,-0.02065
subject1,normal,0,1733143142866,17.24865,-11.09574,-0.46339,0.04105,0.06085,-0.12022
subject1,normal,0,1733143142919,7.86212,-7.85692,1.94815,0.09505,0.09399,-0.21803
subject1,normal,0,1733143142967,-1.69081,-6.07983,2.06038,0.07712,0.03326,-0.24181
subject1,normal,0,1733143143032,-4.99962,-0.29663,12.77563,-0.00937,-0.06462,-0.14161
subject1,normal,0,1733143143080,-3.81895,-3.66728,4.99213,-0.03337,-0.05083,-0.05651
subject1,normal,0,1733143143129,-1.04292,7.27905,-7.09389,-0.01998,-0.01437,-0.01324
subject1,normal,0,1733143143182,-0.37177,-6.57597,-4.80468,-0.02579,-0.02424,0.03853
subject1,normal,1,1733143159113,3.10566,-0.63559,-0.16919,-0.01434,-0.01730,0.00785
subject1,normal,1,1733143159164,2.84857,0.21749,-0.46932,0.01360,0.02101,0.00955
subject1,normal,1,1733143159215,2.75112,-0.19343,-0.72724,-0.03068,-0.03001,0.02255
subject1,normal,1,1733143159267,4.11863,0.27960,1.01571,0.01383,0.00617,-0.02634
subject1,normal,1,1733143159316,4.86345,-1.64972,-0.35229,-0.01258,-0.00214,0.00213
subject1,normal,1,1733143159370,2.87380,2.45434,0.85465,0.01640,0.01271,-0.01064
subject1,normal,1,1733143159416,2.72646,-2.74243,0.04284,0.01203,0.00883,-0.00128
subject1,normal,1,1733143159460,4.33828,2.29519,1.39788,-0.00589,-0.00397,0.00503
subject1,normal,1,1733143159507,2.74552,1.69368,0.04204,0.00505,-0.00324,-0.00625
subject1,normal,1,1733143159556,2.22678,2.73812,2.90656,0.01241,0.00014,-0.01413
subject1,normal,1,1733143159613,5.06269,-2.68560,0.98735,0.00691,0.00303,-0.00464
subject1,normal,1,1733143159664,2.96514,-1.44191,1.91667,0.01738,0.01239,-0.00535
subject1,normal,1,1733143159713,6.25650,-2.34480,-5.10466,0.02593,0.02221,-0.01995
subject1,normal,1,1733143159760,4.92323,-0.19888,-2.88537,0.01470,0.03322,-0.00887
subject1,normal,1,1733143159811,4.00601,1.46681,1.77306,0.00127,0.01023,-0.00688
subject1,normal,1,1733143159862,7.40628,-0.74717,-1.98021,0.00435,0.01321,0.00523
subject1,normal,1,1733143159912,5.86303,1.45808,-0.85551,-0.00095,0.00107,-0.00360
subject1,normal,1,1733143159961,6.05463,-4.46141,3.17615,-0.01724,0.00150,0.01182
subject1,normal,1,1733143160010,1.70650,5.86901,2.72189,-0.01074,0.01129,-0.00141
subject1,normal,1,1733143160060,10.55744,3.42925,3.12693,-0.00530,-0.00558,0.01018
subject1,normal,1,1733143160109,3.97127,4.13199,1.72408,-0.00603,0.02511,-0.00528
subject1,normal,1,1733143160159,7.33883,2.10981,0.15481,-0.01035,0.01554,-0.00241
subject1,normal,1,1733143160208,7.53142,0.98179,-0.70055,0.00307,0.00691,0.00322
subject1,normal,1,1733143160261,10.57190,0.67042,0.76553,-0.01222,0.00996,0.00576
subject1,normal,1,1733143160308,6.80801,-1.43088,-4.83495,-0.00352,0.00542,-0.00414
subject1,normal,1,1733143160358,10.01462,-3.72049,-6.90649,-0.00157,0.00354,-0.00595
subject1,normal,1,1733143160407,7.24208,0.34857,10.66424,0.00660,0.00909,-0.00325
subject1,normal,1,1733143160457,4.11103,2.21439,-1.09018,0.00039,0.01605,-0.00004
